claim_id,manuscript_location,claim_text,benchmark,protocol,model,metric,value_in_text,source_artifact,value_in_artifact,status,required_fix
C001,PAPER_DRAFT_v1.tex:71-72,"\methodplus{} boosted fusion 0.738 versus Tent 0.735; exploratory validation router reaches 0.740",MVTec 3D-AD,PatchCore supervised-paired,rga_boosted_fusion,roc_auc,0.738,experiments/fusion/mvtec3d_patchcore_supervised_paired_results.json,0.7383,P0 FATAL (Phase 0.6): the 'best non-router' framing relied on a comparator selected by reading the test winner; under Phase 0.6 locked audited-reanalysis policy the existing cell uses validation-frozen comparator selection — no comparator was pre-declared. Tent was named instead of SAR.,Replace headline with validation-frozen RGA+ vs validation-frozen primary comparator (audited reanalysis only); pre-declared comparators are reserved for Family D future locked confirmatory replication.
C002,PAPER_DRAFT_v1.tex:104-106,"\methodplus{} boosted fusion reaches ROC-AUC 0.738 above Tent (0.735) TTT (0.724) and random forest (0.702); auxiliary validation router reaches 0.740",MVTec 3D-AD,PatchCore supervised-paired,rga_boosted_fusion,roc_auc,0.738,experiments/fusion/mvtec3d_patchcore_supervised_paired_results.json,0.7383,P0 FATAL: same as C001 plus SAR (0.7354) omitted; do not assert RGA+ 'beats every baseline' for existing cells; show descriptive baseline ranking only.,Replace ordered 'above/below' phrasing with descriptive table; reserve confirmatory beats-X claims for Family D.
C003,PAPER_DRAFT_v1.tex:1207-1210,"validation-selected \methodplus{} boosted head reaches 0.738 a small but real win over Tent; auxiliary router reaches 0.740 but is reported separately",MVTec 3D-AD,PatchCore supervised-paired,rga_boosted_fusion,roc_auc,0.738,experiments/fusion/mvtec3d_patchcore_supervised_paired_results.json,0.7383,QUESTIONABLE: 'small but real win' is a confirmatory claim on an already-inspected result. Audited reanalysis must use 'audited inferential summary; not independent confirmatory replication' language.,Soften to: 'in the audited reanalysis the validation-frozen RGA+ head is narrowly above the validation-frozen primary comparator (point estimate; audited inferential summary, not confirmatory).'
C004,PAPER_DRAFT_v1.tex:1537,"RGA+ = max(router boost)",MVTec / VisA / LOCO / Real3D / UNSW,all,rga_plus,roc_auc,definition,src/scripts/emit_milestone2_cross_benchmark.py:113-115,max() on test-set ROC-AUC,P0 FATAL: violates Rule 4 (test-set oracle selection),"Replace with: 'RGA+ = head selected on validation ROC-AUC and frozen before test evaluation' (see HEADLINE_METHOD_POLICY.md). For existing cells this is an audited-reanalysis remap; for future Family D it is a genuinely pre-frozen selection."
C005,PAPER_DRAFT_v1.tex:1543,"Holm-Bonferroni correction across all nine evaluated cells",MVTec / VisA / LOCO / Real3D / UNSW,all,rga_plus_vs_best,p_holm,9-cell family,docs/research/tables/milestone2_cross_benchmark.tex,11-cell family,P0 FATAL: caption/prose say 9; table has 11; Holm computed across 11; multiplicity family was constructed after results were observed.,Apply Phase 0.6 family split (A audited-primary K=5; B audited-mechanism K=2; C exploratory K=0; D future confirmatory K to be locked before evaluation); update caption to match audited-reanalysis framing.
C006,PAPER_DRAFT_v1.tex:1554-1557,"MVTec~LOCO-AD PatchCore supervised-paired (+0.008 over Tent p_Holm=1.1e-5) and VisA RGB+edge-proxy supervised-paired (+0.011 over RF p_Holm=1.2e-4)",MVTec LOCO-AD / VisA,PatchCore SP / RGB+edge SP,rga_plus_vs_best,p_holm_bonferroni,(1.1e-5 / 1.2e-4),docs/research/tables/milestone2_cross_benchmark.tex,(1.5e-5 / 1.8e-4),DRIFTED + RE-FRAMED: prose vs regenerated table drift; AND the comparator (Tent / RF) was chosen by reading the test winner — both must move to 'validation-frozen comparator' in audited reanalysis.,Recompute under Phase 0.6 audited-reanalysis rule (validation-frozen comparator; seed-averaged single DeLong; paired sample bootstrap; ensemble label).
C007,PAPER_DRAFT_v1.tex:1588-1591,"VisA p_raw=0.050 MVTec LOCO p_raw=0.023 lose strict significance after Holm correction across nine cells (p_Holm=0.199 and 0.116)",MVTec LOCO-AD / VisA,PatchCore SP / RGB+edge SP,rga_plus_vs_best,p_holm_bonferroni,(0.199 / 0.116),docs/research/tables/milestone2_cross_benchmark.tex,(1.5e-5 / 1.8e-4),P0 FATAL: direct contradiction with rendered table in same section,Delete this sentence; regenerate the prose under Phase 0.6 audited-reanalysis rule; one corrected family only; clearly mark as audited-reanalysis not confirmatory.
C008,PAPER_DRAFT_v1.tex:1559-1561,"UNSW-NB15 reaches p_Holm~1e-11 at near-zero point-estimate delta (+0.0003 over random forest)",UNSW-NB15,flow/conn/context,rga_plus_vs_best,p_holm_bonferroni,1e-11,docs/research/tables/milestone2_cross_benchmark.tex,5.7e-12,VERIFIED but Fisher independence violated (Rule 7) AND seed-averaged result will need ensemble labelling,Replace Fisher with seed-averaged single DeLong + paired sample bootstrap on test rows; label as 'ensemble audited analysis (RF comparator validation-frozen)'; do not imply single-model superiority.
C009,PAPER_DRAFT_v1.tex:1565-1568,"Real3D-AD is the only supervised-paired cell where \methodplus{} loses (-0.013 to a late-fusion ensemble)",Real3D-AD,FPFH+depth supervised,rga_plus_vs_best,delta_roc,-0.013,experiments/fusion/real3d_supervised_paired_results.json,+0.005 (boost 0.5656 - Tent 0.5607),STALE: post-descriptor-upgrade Real3D no longer loses; current delta is +0.005. Real3D is Family C exploratory in Phase 0.6; no confirmatory claim allowed.,Update prose to reflect current PCA-shape descriptor result; mark explicitly as Family C exploratory; remove the confirmatory framing.
C010,PAPER_DRAFT_v1.tex:99,"\method{} 0.561 on MVTec 3D-AD canonical one-class",MVTec 3D-AD,canonical one-class,craf_attention,roc_auc,0.561,experiments/fusion/mvtec3d_patchcore_results.json,0.5143,STALE / SOURCE MISMATCH: 0.561 (older image-statistic feature canonical run); PatchCore canonical JSON has 0.5143; canonical is protocol-diagnostic only in Phase 0.6,Cite the correct canonical JSON; ROC-AUC at chance level is descriptive only; PR/ECE/Brier blocked by C011/C021 pending issue-E audit.
