issue_id,document,page_or_section,visible_old_claim_or_table,correct_policy_or_result,source_tex_file,generated_asset_file,source_result_artifact,root_cause,required_action,fixed_status,verification_evidence
P0-1a,paper,§Calibration and Counterfactual Attribution,Canonical PR-AUC 0.7835 / ECE 0.7835 / Brier 0.7835 columns visible in canonical MVTec table,Show ROC-AUC only in promoted canonical tables (Phase 1.A audit verdict),docs/research/PAPER_DRAFT_v1.tex,docs/research/tables/mvtec3d_patchcore_clean_ci_results.tex,experiments/fusion/mvtec3d_patchcore_results.json,emit_mvtec3d_assets.py emits full metric block for canonical results,Regenerate canonical clean tables with ROC-AUC only; archive full block to diagnostic appendix,pending,PDF text scan + canonical table row count
P0-1b,paper,§Per-Category Breakdown / canonical figure,Canonical PR-AUC visually promoted in bar charts,Promoted canonical figure must be ROC-AUC only,docs/research/PAPER_DRAFT_v1.tex,docs/research/figures/mvtec3d_patchcore_*.png,experiments/fusion/mvtec3d_patchcore_results.json,Figure script renders PR/ECE/Brier alongside ROC,Regenerate figure with ROC-AUC only OR move to diagnostic appendix,pending,Visual page-image inspection
P0-1c,thesis,§canonical MVTec table,Same canonical PR/ECE/Brier columns visible,Apply same canonical reframing as paper,docs/research/THESIS_CHAPTER_v1.tex,docs/research/tables/mvtec3d_clean_results.tex,experiments/fusion/mvtec3d_patchcore_results.json,Same as P0-1a,Regenerate; coordinate with paper,pending,Thesis text scan
P0-2a,paper,§sec:unsw-paired §line 1532-1540,"prove the cross-benchmark contrast generalizes / router beats every non-ELARA supervised baseline / first naturally-paired benchmark where RGA's reliability-derived features turn a supervised fusion result into the top method",Bounded audited UNSW wording with practically-very-small +0.0003 Δ,docs/research/PAPER_DRAFT_v1.tex,n/a,experiments/audit/audited_ensemble_inference_results.csv,Old Tier-A UNSW prose not updated by Phase 1.G,Replace subsection prose with locked audited wording,pending,Validator + text scan
P0-2b,thesis,§sec:thesis-unsw,Same overclaim ('prove the cross-benchmark / beats every non-ELARA'),Same bounded UNSW wording,docs/research/THESIS_CHAPTER_v1.tex,n/a,experiments/audit/audited_ensemble_inference_results.csv,Same as P0-2a,Replace thesis UNSW prose,pending,Thesis text scan
P0-3,paper+thesis,§abstract + §mechanism subsections,"Two regimes mixed: +0.0506/+0.0319 (k-of-D k=4 mean-gate) AND +0.0367/+0.0538 (standard table_3 default-gate) both appear without clear primary/secondary labeling",Lock PRIMARY = k-of-D k=4 mean-gate (+0.0506 / +0.0319) per audited B1/B2 endpoint; label table_3 as SECONDARY descriptive surface,docs/research/PAPER_DRAFT_v1.tex + docs/research/THESIS_CHAPTER_v1.tex,docs/research/tables/elara_k_domain_corruption_results.tex + docs/research/tables/elara_adversarial_results.tex + docs/research/tables/elara_tau_sweep_results.tex,experiments/fusion/craf_real_k_domain_results.json (PRIMARY) + experiments/fusion/craf_real_results.json (SECONDARY),Two separate experimental harnesses on same dataset; never labeled distinctly in prose,Add explicit primary/secondary labeling; update captions; update primary-run resolution doc,pending,Phase_1_1_primary_run_resolution.md + tests
P0-4a,paper,§sec:cross-benchmark-master Table tab:milestone2,"'Best non-router' / 'Best ROC' / 'RGA+ Δ vs best' column headers in rendered milestone1 + rga_plus_ablation tables (despite master comparison having been corrected)",Replace column headers with 'Validation-frozen comparator' / 'Audited Δ vs validation-frozen comparator',docs/research/PAPER_DRAFT_v1.tex,docs/research/tables/mvtec3d_milestone1_comparison.tex + docs/research/tables/rga_plus_ablation.tex,multiple JSONs,Both tables still emit old test-winner column headers,Update emit scripts to use validation-frozen language; regenerate tables,pending,Forbidden-string scan
P0-4b,paper,§sec:rga-plus-ablation Table tab:rga-plus-ablation,"'Best non-router' / 'Best ROC' / 'Router-Best' / 'Boost-Best' columns",Same as P0-4a,docs/research/PAPER_DRAFT_v1.tex,docs/research/tables/rga_plus_ablation.tex,multiple JSONs,Same as P0-4a,Same as P0-4a,pending,Forbidden-string scan
P0-5,paper+thesis,abstract + master caption + audited inference report references,"'Family A confirmatory' / 'Family A audited-primary' inconsistency across documents",Always use 'Family A audited-primary' or 'Family A locked audited-reanalysis family',docs/research/PAPER_DRAFT_v1.tex + docs/research/THESIS_CHAPTER_v1.tex,n/a,n/a,Mixed terminology persists in some sub-locations,Search and replace; commit unified term,pending,Text scan
P0-6,thesis,no audited-policy subsection,Thesis lacks the explicit Locked Audited-Reanalysis Policy and Future Replication Boundary subsection,Add new thesis subsection mirroring Phase 0.6 policy lock,docs/research/THESIS_CHAPTER_v1.tex,n/a,n/a,Phase 1.G focused on paper; thesis policy section incomplete,Add subsection 'Locked Audited-Reanalysis Policy and Future Replication Boundary',pending,Thesis section count test
P1-1,paper+thesis,§sec:cross-benchmark-master caption + §Internal Validity,Single-representative-seed DeLong limitation under-stated,"Add: 'fixed representative-seed audited inferential summary (seed 42); not independent confirmatory replication.'",docs/research/PAPER_DRAFT_v1.tex + docs/research/THESIS_CHAPTER_v1.tex,n/a,n/a,Phase 1.G partial,Expand caption + Internal Validity paragraph,pending,Caption text scan
