claim_id,claim_text,pillar,component,status,scenario_c_label,authoritative_artifact,bound_or_qualifier
C_FAMILY_A_STATIC_REF,RGA+ improves over fixed static attention across five audited cells,P1;P3,RGA+,COMPLETE_VALID,NEW CONFIRMATORY (prior),experiments/phase2/statistics/family_a_v2_primary_cell_level_holm_k5.csv,Vs fixed static attention only; not strongest baselines; LOCO/VisA derived-view proxy; A-POWERED-2 near-chance; UNSW small effect
C_FAMILY_B_B1_REPRODUCED,Zero-attack coherent collapse benefit B1 reproduced at +0.0507 CI[+0.0364 +0.0650],P1,Base RGA,VERIFIED_REPRODUCED,NEW CONFIRMATORY (prior),experiments/phase2/mechanism/family_b_primary_replication_holm_k2.csv,Controlled score-collapse benchmark only
C_FAMILY_B_B2_ESTIMATOR,Max-attack coherent collapse B2 positive at +0.0939 CI[+0.0741 +0.1149],P1,Base RGA,COMPARABLE_BUT_ESTIMATOR_CHANGED,NEW EXPLORATORY,experiments/phase2/mechanism/family_b_primary_replication_holm_k2.csv,Must be shown side-by-side with Phase-1 target +0.0319; not exact magnitude replication
C_RGA_V2_NOT_PROMOTED,Sensitive gates G1/G2/G3 failed clean false-fire control (FFR 1.000) not promoted,P1,Base RGA,REJECTED,FAILED,experiments/phase2/mechanism/rga_v2_failure_surface_inference.csv,G0 remains the only reference gate
C_DOMAIN_SHIFT_FAILED,Domain composition shift global and domain-aware gates fired at 1.000,P1;P5,Base RGA,UNRESOLVED,FAILED,experiments/phase2/mechanism/domain_composition_shift_metrics.csv,Cohort-mixture theorem unresolved/deferred
C_KS_WINDOW_BOUNDED,KS window size sweep demonstrates power tradeoffs on locked grid,P1,Base RGA,COMPLETE_VALID,NEW CONFIRMATORY (prior),experiments/phase2/mechanism/ks_window_size_power.csv,Bounded to evaluated window sizes and degradation types
C_CERT_MIXED,max_attack certified (LCB +0.0085); zero_attack not certified (LCB -0.0050),P5,Monitor/Certificate,COMPLETE_VALID,NEW CONFIRMATORY (prior),experiments/phase2/certification/switching_certificates_v2.csv,Retrospective certificate only; not a production safety guarantee
C_FAMILY_D_NOT_CONFIRMED,Eyecandies held-out transfer not confirmed (D-EYE-1 d=-0.0010 p=0.3632; D-EYE-2 d=-0.0109 p=0.4468),P4,Base RGA,NOT_CONFIRMED,FAILED,docs/research/phase2/FAMILY_D_V3_INFERENCE_REPORT.md,Clean false-fire budget met but paired tests non-significant; CIs include zero
C_NO_UNIVERSAL,ELARA is not universal SOTA or deployment-ready,N/A,N/A,COMPLETE_VALID,NEW CONFIRMATORY (prior),docs/research/phase2/PHASE_2_FINAL_DECISION_AUDITED.md,Explicit calibration-transfer-under-score-shift limitation
C_P2_STRONG_BASELINE,ELARA beats strongest frozen non-ELARA baseline,P2,RGA+;Router,NOT_ESTABLISHED,PENDING,NONE,Requires frozen strongest-baseline comparison (Phase 5); not yet run
C_P3_MULTIMODAL_GENERALIZATION,Positive results across multiple naturally co-observed datasets,P3,RGA+;Base RGA,PARTIAL,PENDING,docs/research/phase3/FINAL_METRICS_MANIFEST.json,Only MVTec 3D-AD is naturally paired; need >=2 naturally paired datasets
C_P4_HELDOUT_TRANSFER,Confirmed improvement on unseen paired dataset / unseen degradation,P4,Base RGA;RGA+,NOT_CONFIRMED,PENDING,NONE,Requires untouched T2 dataset; Eyecandies sealed FAILED pending D1
C_P5_THEORY_TRANSFER,Formal calibration-transfer condition explaining when validation reliability stays valid,P5,Base RGA,OPEN,PENDING,docs/research/phase3/GATE_DECISION_RULE.md,Finite-sample certificate exists; population-level + transfer theorem open
C_P6_DEPLOYMENT_AUDIT,Temporal monitoring + abstention + reproducible raw predictions,P6,Monitor/Certificate,PARTIAL,PENDING,src/elara/evaluation/prediction_archive.py,Logging + monitoring concept exist; full prospective evidence incomplete
